Fecha,La Paz,Cochabamba,Santa Cruz,Oruro,Potosi,Tarija,Chuquisaca,Beni,Pando,Bolivia
2020-05-07,2294,1159,3444,465,156,50,175,230,76,
2020-05-08,2399,1203,3532,472,170,60,176,230,79,
2020-05-09,2515,1244,3638,475,186,61,,239,,
2020-05-10,2578,1252,3889,492,215,61,228,244,,
2020-05-11,2657,1256,4346,505,,62,239,253,95,
2020-05-12,2757,1352,4504,519,228,81,239,322,95,
2020-05-13,2886,1402,4671,521,230,94,239,322,,
2020-05-14,2889,1492,4876,534,241,94,239,322,95,
2020-05-15,,1606,5048,559,,106,,322,95,
2020-05-16,3198,,5231,567,251,125,258,419,,
2020-05-17,3242,,5507,570,261,125,,419,,
2020-05-18,,1842,5601,570,,125,328,419,100,
2020-05-19,3350,1963,5908,589,,146,336,419,100,
2020-05-20,,2060,6171,593,270,157,,429,,
2020-05-21,3513,2161,6366,608,278,178,,493,100,
2020-05-22,3578,2213,6604,613,300,184,383,518,,
2020-05-23,,,7008,620,319,184,399,555,,
2020-05-24,3829,2469,7188,655,342,184,,567,104,
2020-05-25,3887,2515,7337,661,352,225,,627,,
2020-05-26,4000,2534,7515,677,361,225,405,666,108,
2020-05-27,4135,2776,7855,677,364,248,425,709,108,
2020-05-28,4194,2826,8113,692,405,271,430,760,,
2020-05-29,4256,2904,8291,697,407,321,438,769,146,
2020-05-30,4322,2945,8557,697,428,343,,786,,
2020-05-31,4395,3011,8697,716,428,343,,791,,
2020-06-01,4425,3063,9087,723,430,370,454,808,146,
2020-06-02,4633,3137,9398,726,469,377,464,841,146,
2020-06-03,4771,3254,9668,743,483,417,480,886,146,
2020-06-04,5036,3314,9940,762,611,445,488,959,146,
2020-06-05,,3441,10290,787,656,469,495,1005,146,
2020-06-06,5386,3538,10520,830,714,501,507,1022,154,
2020-06-07,5545,3573,10657,839,800,501,,1057,210,
2020-06-08,5649,3768,10789,843,811,530,521,1078,242,
2020-06-09,5753,3849,11105,891,875,553,529,1132,279,
2020-06-10,5892,3892,11484,929,896,610,539,1197,315,
2020-06-11,5892,3947,11849,1003,996,675,590,1231,393,
2020-06-12,6201,,12121,1048,998,690,622,1349,473,
2020-06-13,6371,4164,12251,1077,1086,730,666,1373,509,
2020-06-14,6552,4178,12576,1112,1178,730,675,1383,529,
2020-06-15,6796,4385,12730,1133,1239,742,703,1417,538,
2020-06-16,6931,4421,12924,1169,1286,760,756,1432,552,
2020-06-17,6931,4500,13049,1184,1330,805,772,1515,565,
2020-06-18,6931,4631,13165,1213,1382,864,824,1673,574,
2020-06-19,7518,4710,13495,1259,1462,987,875,1742,,
2020-06-20,7665,4760,13672,1297,1536,1069,955,1848,650,
2020-06-21,7930,4863,14066,1326,1542,1165,987,1869,653,
2020-06-22,8240,4894,14946,1383,1658,1213,1004,1965,659,
2020-06-23,8353,5186,15169,1403,1704,1248,1228,2036,663,
2020-06-24,,,15189,1411,1721,1322,,2141,663,
2020-06-25,8780,5236,15256,1432,1769,1365,1414,2180,663,
2020-06-26,8982,5415,15611,1475,1768,,1594,2197,705,
2020-06-27,9234,5523,15785,1481,1796,1537,1776,2254,710,
2020-06-28,9301,5666,15898,1514,1847,1553,1930,2293,710,
2020-06-29,9390,5707,15989,1515,1848,1600,2004,2384,710,
2020-06-30,9549,5818,16339,1560,1961,1690,2160,2460,710,
2020-07-01,9825,5934,16479,1581,2033,1790,,2551,714,
2020-07-02,10023,6009,16599,1639,2037,1888,2510,2600,734,
2020-07-03,10317,6114,16725,1663,2077,2014,2639,2664,755,
2020-07-04,10606,6160,16875,1712,2100,2129,2825,2668,812,
2020-07-05,11121,6192,17799,1719,2113,2197,2886,2668,886,
2020-07-06,11394,6386,17890,1725,2150,2231,2930,2694,909,
2020-07-07,11648,6439,,1749,2191,2290,3072,2798,920,
2020-07-08,11893,6511,18124,1771,2218,2382,3162,2863,920,
2020-07-09,12184,6581,18124,1806,2225,2511,3364,3031,920,
