,La Paz,Cochabamba,Santa Cruz,Oruro,Potosi,Tarija,Chuquisaca,Beni,Pando
2020-05-07,,,,,,,,,
2020-05-08,0.180,0.154,0.439,0.125,0.000,0.231,0.000,1.000,0.000
2020-05-09,0.057,0.109,0.586,0.625,0.000,0.500,,0.000,
2020-05-10,0.113,0.529,0.277,0.150,0.000,,,0.286,
2020-05-11,0.048,0.556,0.294,0.000,,0.000,0.000,0.893,
2020-05-12,0.029,0.179,0.392,0.222,,0.136,,0.000,
2020-05-13,0.023,0.265,0.410,0.000,0.000,0.000,,1.000,
2020-05-14,0.500,0.196,0.373,0.235,0.000,,,1.000,
2020-05-15,,0.186,0.438,0.000,,0.000,,1.000,
2020-05-16,,,0.547,0.111,,0.000,,0.030,
2020-05-17,0.043,,0.470,0.400,0.167,,,,
2020-05-18,,,0.582,1.000,,,,1.000,
2020-05-19,,0.129,0.223,0.050,,0.000,0.000,1.000,
2020-05-20,,0.118,0.496,0.000,,0.083,,0.939,
2020-05-21,,0.065,0.470,0.167,0.111,0.125,,0.519,
2020-05-22,0.085,0.268,0.513,0.286,0.000,0.143,,0.819,
2020-05-23,,,0.368,0.222,0.000,,0.111,0.689,
2020-05-24,,,0.624,0.125,0.042,,,0.000,
2020-05-25,0.134,0.179,0.688,0.143,0.167,0.024,,0.429,
2020-05-26,0.058,0.240,0.670,0.111,0.000,,,0.719,
2020-05-27,0.036,0.114,0.584,1.000,0.000,0.000,0.130,0.724,
2020-05-28,0.119,0.462,0.613,0.211,0.047,0.115,0.000,0.748,
2020-05-29,0.253,0.469,0.491,0.583,0.500,0.038,0.000,0.886,
2020-05-30,0.340,0.624,0.691,1.000,0.000,0.267,,0.885,
2020-05-31,0.284,0.455,0.547,0.424,1.000,,,0.953,
2020-06-01,0.615,0.665,0.440,0.462,0.500,0.156,,0.817,
2020-06-02,0.221,0.493,0.411,0.727,0.371,0.000,0.091,0.708,
2020-06-03,0.132,0.357,0.598,0.190,0.263,0.070,0.111,0.751,1.000
2020-06-04,0.089,0.439,0.537,0.457,0.141,0.125,0.111,0.708,
