,La Paz,Cochabamba,Santa Cruz,Oruro,Potosi,Tarija,Chuquisaca,Beni,Pando
2020-05-08,128,52,157,8,14,13,1,81,3
2020-05-09,123,46,256,8,16,2,29,9,5
2020-05-10,71,17,347,20,29,0,27,7,5
2020-05-11,83,9,647,13,7,1,11,84,5
2020-05-12,103,117,260,18,6,22,0,69,0
2020-05-13,132,68,283,2,2,13,0,47,0
2020-05-14,6,112,327,17,11,0,0,73,0
2020-05-15,160,140,306,25,5,12,9,39,0
2020-05-16,159,96,404,9,5,19,10,100,1
2020-05-17,46,88,521,5,12,0,36,0,1
2020-05-18,61,82,225,2,4,0,35,30,1
2020-05-19,67,139,395,20,3,21,8,98,0
2020-05-20,89,110,522,4,4,12,17,164,0
2020-05-21,93,108,368,18,9,24,15,133,0
2020-05-22,71,71,489,7,22,7,15,138,1
2020-05-23,130,138,639,9,19,0,18,119,1
2020-05-24,133,162,479,40,24,0,2,12,2
2020-05-25,67,56,477,7,12,42,3,105,2
2020-05-26,120,25,539,18,9,0,2,139,2
2020-05-27,140,273,818,2,3,23,23,156,0
2020-05-28,67,93,666,19,43,26,5,202,19
2020-05-29,83,147,350,12,4,52,8,79,20
2020-05-30,100,109,862,24,21,30,5,148,0
2020-05-31,102,121,309,33,20,0,6,107,0
2020-06-01,78,155,697,13,4,32,7,93,0
2020-06-02,267,146,528,11,62,7,11,113,0
2020-06-03,159,182,672,21,19,43,18,181,9
2020-06-04,291,107,587,35,149,32,9,250,0
2020-06-05,206,189,542,34,73,29,13,196,0
2020-06-06,220,159,642,52,82,41,13,61,32
2020-06-07,176,110,257,13,98,0,7,74,74
2020-06-08,126,260,267,18,16,36,11,75,32
2020-06-09,132,150,729,62,76,26,8,181,66
2020-06-10,177,109,749,55,26,58,28,151,72
2020-06-11,90,127,898,103,163,73,64,65,123
2020-06-12,360,180,681,69,8,25,43,236,143
2020-06-13,251,204,748,40,109,65,59,41,65
2020-06-14,266,200,595,44,128,0,11,20,39
2020-06-15,308,362,471,32,73,23,43,42,30
2020-06-16,176,73,819,47,65,44,65,47,22
2020-06-17,44,205,484,35,61,71,21,217,84
2020-06-18,88,269,379,52,66,75,103,356,32
2020-06-19,670,202,881,62,95,138,62,216,54
2020-06-20,223,108,803,48,91,115,137,214,89
2020-06-21,500,294,728,48,10,103,80,53,9
2020-06-22,448,92,1448,168,234,77,17,162,20
2020-06-23,161,455,598,96,60,59,305,177,13
2020-06-24,408,170,562,32,33,106,133,207,2
2020-06-25,425,75,638,43,60,105,141,72,6
2020-06-26,409,442,577,114,0,125,234,31,91
2020-06-27,446,291,852,8,42,168,236,98,10
2020-06-28,175,195,531,117,89,39,213,105,0
2020-06-29,174,74,429,22,24,106,81,125,1
2020-06-30,221,250,1020,95,123,146,219,120,0
2020-07-01,488,220,516,84,87,157,234,145,72
2020-07-02,354,167,854,139,35,153,220,79,97
2020-07-03,531,358,693,76,48,192,170,126,25
2020-07-04,527,103,782,93,53,201,251,14,148
2020-07-05,848,85,1486,51,16,123,111,0,200
2020-07-06,753,424,292,56,58,102,77,83,95
2020-07-07,445,116,562,121,60,89,210,207,31
2020-07-08,520,215,645,133,57,237,121,241,0
2020-07-09,516,204,485,90,20,199,265,252,0
2020-07-10,567,261,764,144,22,270,4,164,0
2020-07-11,1016,167,722,103,27,127,496,41,0
2020-07-12,545,287,415,138,79,0,129,45,23
2020-07-13,629,290,478,111,71,57,0,45,0
2020-07-14,1029,289,1009,92,77,167,232,64,0
2020-07-15,-18,549,653,95,64,206,219,131,0
2020-07-16,678,392,1325,84,118,222,316,123,0
2020-07-17,463,222,1807,161,40,251,-15,26,12
2020-07-18,1083,384,628,123,22,480,132,33,136
2020-07-19,1386,214,417,57,169,172,84,31,34
2020-07-20,807,249,607,84,22,135,62,47,10
2020-07-21,713,284,1226,182,0,39,36,67,1
2020-07-22,975,296,1154,148,85,11,50,20,93
2020-07-23,840,268,860,112,45,13,53,30,19
2020-07-24,583,377,190,70,255,181,88,132,59
2020-07-25,1715,202,928,179,21,342,20,16,4
2020-07-26,665,202,653,160,90,371,9,3,3
2020-07-27,623,1197,532,92,11,254,60,6,9
2020-07-28,469,383,1078,78,19,324,27,28,2
2020-07-29,601,155,849,84,14,253,23,24,32
2020-07-30,840,339,1358,262,15,369,18,92,12
2020-07-31,623,774,1013,69,29,224,178,152,19
2020-08-01,474,809,1046,569,48,185,87,182,20
2020-08-02,875,339,926,267,62,278,91,125,1
2020-08-03,1091,288,1022,48,60,181,95,109,9
2020-08-04,485,562,1148,228,49,146,89,97,30
2020-08-05,1475,398,947,82,77,135,177,93,43
2020-08-06,693,184,1028,162,47,44,171,118,28
2020-08-07,1431,172,923,27,81,17,287,159,43
2020-08-08,933,143,893,115,38,2,195,64,55
2020-08-09,880,248,798,46,47,0,69,54,45
2020-08-10,1108,340,1024,13,121,276,191,100,52
2020-08-11,866,371,892,83,813,279,234,136,85
2020-08-12,1450,329,928,38,302,311,199,21,74
2020-08-13,424,205,810,24,352,326,217,58,54
2020-08-14,893,374,722,28,458,255,182,1,78
2020-08-15,1845,178,714,38,412,91,171,10,96
